precinct_name,precinct_center_lat,precinct_center_lon,winner,winner_net,winner_pct,Innamorato_total,Weinstein_total,Lamb_total,Fawcett_total,Colaizzi_total,Parker_total,Write-in_total,precinct_total,Innamorato_pct,Weinstein_pct,Lamb_pct,Fawcett_pct,Colaizzi_pct,Parker_pct,Write-in_pct
Baldwin Br Dist 17,40.347500000000004,-79.995,Weinstein,21,42.0,23,55,34,17,2,0,0,131,17.6,42.0,26.0,13.0,1.5,0.0,0.0
Baldwin Br Dist 18,40.35745,-79.96360000000001,Weinstein,31,40.9,36,79,48,18,6,5,1,193,18.7,40.9,24.9,9.3,3.1,2.6,0.5
Baldwin Tp Dist 1,40.37665,-80.01570000000001,Weinstein,15,37.9,31,53,38,14,4,0,0,140,22.1,37.9,27.1,10.0,2.9,0.0,0.0
Baldwin Tp Dist 2,40.3815,-80.0124,Weinstein,32,45.3,36,68,27,16,2,1,0,150,24.0,45.3,18.0,10.7,1.3,0.7,0.0
Bell Acres,40.587,-80.17090000000002,Weinstein,4,33.9,61,65,29,34,2,1,0,192,31.8,33.9,15.1,17.7,1.0,0.5,0.0
Bellevue Ward 1 Dist 1,40.48780000000001,-80.0515,Innamorato,42,50.9,82,40,22,10,2,4,1,161,50.9,24.8,13.7,6.2,1.2,2.5,0.6
Bellevue Ward 1 Dist 2,40.4923,-80.04865000000001,Innamorato,58,51.8,87,29,29,14,8,1,0,168,51.8,17.3,17.3,8.3,4.8,0.6,0.0
Bellevue Ward 2 Dist 1,40.4901,-80.05715000000001,Innamorato,32,48.1,74,42,22,8,4,4,0,154,48.1,27.3,14.3,5.2,2.6,2.6,0.0
Bellevue Ward 2 Dist 2,40.495200000000004,-80.06085000000002,Innamorato,51,54.2,84,33,26,10,2,0,0,155,54.2,21.3,16.8,6.5,1.3,0.0,0.0
Bellevue Ward 3 Dist 1,40.498850000000004,-80.05260000000001,Innamorato,30,45.2,71,41,26,14,2,2,1,157,45.2,26.1,16.6,8.9,1.3,1.3,0.6
Bellevue Ward 3 Dist 2,40.50385,-80.05595000000001,Innamorato,38,49.7,92,54,22,13,2,2,0,185,49.7,29.2,11.9,7.0,1.1,1.1,0.0
Ben Avon Dist 1,40.506750000000004,-80.0854,Innamorato,52,63.3,76,17,24,3,0,0,0,120,63.3,14.2,20.0,2.5,0.0,0.0,0.0
Ben Avon Dist 2,40.505300000000005,-80.08025,Innamorato,68,51.1,115,47,40,18,5,0,0,225,51.1,20.9,17.8,8.0,2.2,0.0,0.0
Ben Avon Ht,40.512100000000004,-80.07375,Innamorato,9,38.5,30,13,21,13,1,0,0,78,38.5,16.7,26.9,16.7,1.3,0.0,0.0
Bethel Park Ward 1 Dist 1,40.32095,-80.0231,Weinstein,16,38.5,34,50,21,22,3,0,0,130,26.2,38.5,16.2,16.9,2.3,0.0,0.0
Bethel Park Ward 1 Dist 2,40.322,-80.03995,Weinstein,10,32.9,36,46,35,20,2,1,0,140,25.7,32.9,25.0,14.3,1.4,0.7,0.0
Bethel Park Ward 1 Dist 3,40.32455,-80.03335000000001,Weinstein,14,36.7,44,58,35,13,5,3,0,158,27.8,36.7,22.2,8.2,3.2,1.9,0.0
Bethel Park Ward 2 Dist 1,40.30035,-80.03720000000001,Weinstein,16,36.4,31,47,31,16,3,1,0,129,24.0,36.4,24.0,12.4,2.3,0.8,0.0
Bethel Park Ward 2 Dist 2,40.306650000000005,-80.02465000000001,Innamorato,4,34.3,49,45,26,16,5,1,1,143,34.3,31.5,18.2,11.2,3.5,0.7,0.7
Bethel Park Ward 2 Dist 3,40.299350000000004,-80.02905000000001,Weinstein,3,35.6,59,62,26,20,4,3,0,174,33.9,35.6,14.9,11.5,2.3,1.7,0.0
Bethel Park Ward 3 Dist 1,40.3106,-80.05860000000001,Weinstein,6,33.8,39,49,43,11,3,0,0,145,26.9,33.8,29.7,7.6,2.1,0.0,0.0
Bethel Park Ward 3 Dist 2,40.31025,-80.06320000000001,Innamorato,3,34.1,70,67,42,21,4,1,0,205,34.1,32.7,20.5,10.2,2.0,0.5,0.0
Bethel Park Ward 3 Dist 3,40.3035,-80.04860000000001,Lamb,7,33.5,50,60,67,22,1,0,0,200,25.0,30.0,33.5,11.0,0.5,0.0,0.0
Bethel Park Ward 4 Dist 1,40.3425,-80.00795000000001,Weinstein,42,41.5,61,103,54,20,8,0,2,248,24.6,41.5,21.8,8.1,3.2,0.0,0.8
Bethel Park Ward 4 Dist 2,40.3411,-80.02175,Weinstein,18,37.0,34,61,43,24,2,1,0,165,20.6,37.0,26.1,14.5,1.2,0.6,0.0
